Unnamed: 0,ip_src,ip_dst,prt_src,prt_dst,proto,fwd_num_pkts,bwd_num_pkts,fwd_mean_iat,bwd_mean_iat,fwd_std_iat,bwd_std_iat,fwd_min_iat,bwd_min_iat,fwd_max_iat,bwd_max_iat,fwd_mean_offset,bwd_mean_offset,fwd_mean_pkt_len,bwd_mean_pkt_len,fwd_std_pkt_len,bwd_std_pkt_len,fwd_min_pkt_len,bwd_min_pkt_len,fwd_max_pkt_len,bwd_max_pkt_len,fwd_num_bytes,bwd_num_bytes,fwd_num_psh_flags,bwd_num_psh_flags,fwd_num_rst_flags,bwd_num_rst_flags,fwd_num_urg_flags,bwd_num_urg_flags
43,192.168.10.50,192.168.10.3,56190,3268,6,176,90,3.36869178227016,6.62382789943995,6.23878150176934,7.41464513890079,9.5367431640625E-07,9.5367431640625E-07,16.5314688682556,16.5319089889526,297.236298551559,305.474131876163,249.556818181818,132.711111111111,200.893054879871,84.891727701224,52,40,455,684,43922,11944,88,86,0,4,0,0
44,192.168.10.50,192.168.10.3,42226,389,6,168,86,3.33842971224985,6.55903014014749,6.20046654295961,7.37667158494449,0,9.5367431640625E-07,16.5315918922424,16.5319681167603,283.492017697431,291.607148540721,246.333333333333,351.046511627907,199.669985662851,69.573101420877,52,40,455,368,41384,30190,84,82,0,4,0,0
494,192.168.10.50,192.168.10.3,123,123,17,8,8,453.571691274643,453.571689299175,523.857928684676,523.857926023659,2.86102294921875E-06,2.86102294921875E-06,1081.0005531311,1081.0005209446,1810.28676288469,1810.2867528711,76,76,0,0,76,76,76,76,608,608,0,0,0,0,0,0
2326,192.168.10.16,192.168.10.50,37424,21,6,22,28,0.006207046054658,0.004826483903108,0.023715189668937,0.014978163288122,9.5367431640625E-07,9.5367431640625E-07,0.111279010772705,0.067420959472656,0.07064920380002,0.084843759183531,60.7272727272727,68.2142857142857,11.7866712788094,15.3212204448068,52,52,95,103,1336,1910,12,16,0,0,0,0
2333,192.168.10.16,192.168.10.50,35002,16267,6,18,10,0.000895472133861,0.001656002468533,0.002917167343546,0.003952992206517,9.5367431640625E-07,0,0.012403964996338,0.012665987014771,0.011279709198896,0.012252330780029,1192.55555555556,53.6,1136.0222133109,3.2,52,52,2948,60,21466,536,4,0,0,0,0,0
2713,192.168.10.19,192.168.10.50,58358,22,6,40,42,0.03392830873147,0.032268047332764,0.159603587620474,0.154386265193438,2.86102294921875E-06,0,0.999582052230835,0.999703884124756,0.272294368499365,0.244094912598773,119,217.952380952381,109.141192956647,314.204130825272,52,52,508,1028,4760,9154,24,26,0,0,0,0
2767,192.168.10.19,192.168.10.50,58359,22,6,44,44,0.030882513800333,0.03087939772495,0.152010812082226,0.144384332909354,9.5367431640625E-07,9.5367431640625E-07,0.997254133224487,0.956224918365478,0.28292497368746,0.256250082060348,114.363636363636,203.136363636364,106.136509635874,309.629734221456,52,52,508,1028,5032,8938,24,24,0,0,0,0
2807,192.168.10.16,192.168.10.50,55848,22,6,42,44,0.031811999111641,0.030327187028042,0.15500493555579,0.144128883452443,2.14576721191406E-06,9.5367431640625E-07,0.996498823165894,0.955743074417114,0.267776803272526,0.24142339617707,115.809523809524,210.409090909091,107.462338495918,308.920210217771,52,52,508,1028,4864,9258,24,26,0,0,0,0
2811,192.168.10.16,192.168.10.50,55850,22,6,42,42,0.032205610740476,0.032200464388219,0.155448462326662,0.147535925253927,9.5367431640625E-07,0,0.997440099716186,0.955666065216064,0.275825936619828,0.24711311735758,117.333333333333,210.333333333333,107.737482239771,315.113181984374,52,52,508,1028,4928,8834,24,24,0,0,0,0
3375,192.168.10.15,192.168.10.50,51794,21,6,22,28,0.013325623103551,0.010360037838971,0.033761072445677,0.032732028121717,9.5367431640625E-07,9.5367431640625E-07,0.116816997528076,0.156402826309204,0.131442739849999,0.131206742039433,49.0909090909091,56.4285714285714,11.8202795341084,15.0414393579599,40,40,83,90,1080,1580,12,16,0,0,0,0
3376,192.168.10.15,192.168.10.50,51795,16209,6,19,10,0.008715218967862,0.017398436864217,0.029788216195703,0.040412351467802,9.5367431640625E-07,3.09944152832031E-06,0.128935098648071,0.12920093536377,0.118401063813104,0.127034770117866,1120.94736842105,42.4,1096.96252748378,4.8,40,40,2960,52,21298,424,4,0,0,0,0,0
3399,192.168.10.15,192.168.10.50,137,137,17,2,2,3.09944152832031E-06,3.09944152832031E-06,0,0,3.09944152832031E-06,3.09944152832031E-06,3.09944152832031E-06,3.09944152832031E-06,3.09944152832031E-06,3.09944152832031E-06,78,257,0,0,78,257,78,257,156,514,0,0,0,0,0,0
3460,192.168.10.9,205.174.165.73,1841,8080,6,5,4,0.033860504627228,0.044844071070353,0.057146531648176,0.061008473154843,0.000630140304565,0.001660108566284,0.132840871810913,0.131123065948486,0.068293452262879,0.089658498764038,81.2,75,76.541230719136,53.9166022668343,40,40,234,168,406,300,1,1,0,0,0,0
3559,192.168.10.9,205.174.165.73,1845,8080,6,5,4,0.032154500484467,0.042638381322225,0.054142612689654,0.05773361419225,0.000745058059692,0.00170111656189,0.125931978225708,0.124285936355591,0.064748346805573,0.085201104482015,81.2,75,76.541230719136,53.9166022668343,40,40,234,168,406,300,1,1,0,0,0,0
3560,192.168.10.25,192.168.10.50,50159,139,6,52,32,0.001465156966565,0.002401605729134,0.006885834142843,0.007898156982177,9.5367431640625E-07,2.86102294921875E-06,0.047785997390747,0.042870044708252,0.051939674452239,0.052469115103445,100.307692307692,152.125,64.2032644933078,126.67965256899,52,52,246,492,5216,4868,22,22,0,0,0,0
3561,192.168.10.50,192.168.10.3,15418,53,17,4,4,1035.79861903191,1035.79860329628,1464.84041800161,1464.84042777967,3.09944152832031E-06,3.09944152832031E-06,3107.39580488205,3107.3958029747,2071.59722272555,2071.59720635414,59.5,84.5,8.5,33.5,51,51,68,118,238,338,0,0,0,0,0,0
3562,192.168.10.50,192.168.10.3,9956,53,17,2,2,9.5367431640625E-07,9.5367431640625E-07,0,0,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
3563,192.168.10.50,192.168.10.3,25407,53,17,2,2,4.05311584472656E-06,4.81605529785156E-05,0,0,4.05311584472656E-06,4.81605529785156E-05,4.05311584472656E-06,4.81605529785156E-05,4.05311584472656E-06,4.81605529785156E-05,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
3564,192.168.10.50,192.168.10.3,1936,53,17,2,2,0,9.5367431640625E-07,0,0,0,9.5367431640625E-07,0,9.5367431640625E-07,0,9.5367431640625E-07,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
3565,192.168.10.50,192.168.10.3,40232,53,17,2,2,3.814697265625E-06,4.81605529785156E-05,0,0,3.814697265625E-06,4.81605529785156E-05,3.814697265625E-06,4.81605529785156E-05,3.814697265625E-06,4.81605529785156E-05,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
3566,192.168.10.50,192.168.10.3,14306,53,17,2,2,9.5367431640625E-07,9.5367431640625E-07,0,0,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
3567,192.168.10.50,192.168.10.3,59071,53,17,2,2,1.9073486328125E-06,4.81605529785156E-05,0,0,1.9073486328125E-06,4.81605529785156E-05,1.9073486328125E-06,4.81605529785156E-05,1.9073486328125E-06,4.81605529785156E-05,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
3568,192.168.10.50,192.168.10.3,4851,53,17,2,2,9.5367431640625E-07,9.5367431640625E-07,0,0,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
3569,192.168.10.50,192.168.10.3,26908,53,17,2,2,4.60147857666016E-05,4.81605529785156E-05,0,0,4.60147857666016E-05,4.81605529785156E-05,4.60147857666016E-05,4.81605529785156E-05,4.60147857666016E-05,4.81605529785156E-05,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
3570,192.168.10.50,192.168.10.3,40123,53,17,2,2,9.5367431640625E-07,9.5367431640625E-07,0,0,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
3571,192.168.10.50,192.168.10.3,61253,53,17,2,2,4.72068786621094E-05,4.79221343994141E-05,0,0,4.72068786621094E-05,4.79221343994141E-05,4.72068786621094E-05,4.79221343994141E-05,4.72068786621094E-05,4.79221343994141E-05,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
3572,192.168.10.50,192.168.10.3,13321,53,17,2,2,9.5367431640625E-07,9.5367431640625E-07,0,0,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
3573,192.168.10.50,192.168.10.3,33044,53,17,2,2,4.79221343994141E-05,4.69684600830078E-05,0,0,4.79221343994141E-05,4.69684600830078E-05,4.79221343994141E-05,4.69684600830078E-05,4.79221343994141E-05,4.69684600830078E-05,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
3574,192.168.10.50,192.168.10.3,19508,53,17,2,2,9.5367431640625E-07,9.5367431640625E-07,0,0,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
3575,192.168.10.50,192.168.10.3,26249,53,17,2,2,4.81605529785156E-05,4.81605529785156E-05,0,0,4.81605529785156E-05,4.81605529785156E-05,4.81605529785156E-05,4.81605529785156E-05,4.81605529785156E-05,4.81605529785156E-05,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
3576,192.168.10.50,192.168.10.3,52898,53,17,2,2,9.5367431640625E-07,9.5367431640625E-07,0,0,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
3696,192.168.10.9,205.174.165.73,1846,8080,6,6,5,0.033279371261597,0.041467249393463,0.065604160359067,0.070570710783405,4.31537628173828E-05,0.000203847885132,0.164486885070801,0.163697004318237,0.099694871902466,0.123793542385101,74.3333333333333,68.6,71.5394219216852,49.8942882502597,40,40,234,168,446,343,1,2,0,0,0,0
