Unnamed: 0,ip_src,ip_dst,prt_src,prt_dst,proto,fwd_num_pkts,bwd_num_pkts,fwd_mean_iat,bwd_mean_iat,fwd_std_iat,bwd_std_iat,fwd_min_iat,bwd_min_iat,fwd_max_iat,bwd_max_iat,fwd_mean_offset,bwd_mean_offset,fwd_mean_pkt_len,bwd_mean_pkt_len,fwd_std_pkt_len,bwd_std_pkt_len,fwd_min_pkt_len,bwd_min_pkt_len,fwd_max_pkt_len,bwd_max_pkt_len,fwd_num_bytes,bwd_num_bytes,fwd_num_psh_flags,bwd_num_psh_flags,fwd_num_rst_flags,bwd_num_rst_flags,fwd_num_urg_flags,bwd_num_urg_flags
40,192.168.10.14,192.168.10.50,49178,21,6,22,28,0.007050525574457,0.005480925242106,0.025011660456016,0.016128213000058,9.5367431640625E-07,9.5367431640625E-07,0.11565113067627,0.071604013442993,0.090827703475952,0.09173772070143,49.0909090909091,56.5714285714286,11.8202795341084,15.3656122825069,40,40,83,92,1080,1584,12,16,0,0,0,0
43,192.168.10.14,192.168.10.50,49179,39668,6,19,12,0.001575933562385,0.00255764614452,0.005197622912712,0.006532059339468,9.5367431640625E-07,9.5367431640625E-07,0.02244782447815,0.022668123245239,0.020743158128527,0.022641550410878,1120.94736842105,42,1035.33897188486,4.47213595499958,40,40,2960,52,21298,504,4,0,0,0,0,0
729,192.168.10.25,205.174.165.73,51325,444,6,9634,5001,0.039568518226075,0.076240638017655,0.88137373200185,1.22117361888948,0,0,39.4826259613037,39.4438650608063,262.733857656013,260.487306479788,1392.73468964086,81.6694661067787,361.648804192515,223.605160655832,52,52,1500,2948,13417606,408429,387,381,0,0,0,0
1092,192.168.10.5,192.168.10.50,55452,22,6,38,42,0.03485859406961,0.031452882580641,0.163119003198243,0.146936110020504,1.19209289550781E-06,9.5367431640625E-07,0.994493961334228,0.952574968338013,0.275596077377732,0.232263251048763,108.21052631579,206.142857142857,102.141068057533,316.277799186891,40,40,448,1016,4112,8658,24,24,0,0,0,0
1104,192.168.10.5,192.168.10.50,55453,22,6,38,42,0.034687809042029,0.031301271624682,0.163418453437974,0.147600619515811,2.86102294921875E-06,9.5367431640625E-07,0.996946096420288,0.956875085830688,0.269739279875884,0.226335228943243,109.894736842105,198.52380952381,102.38723950964,315.023448718711,40,40,448,1016,4176,8338,24,24,0,0,0,0
1105,192.168.10.5,192.168.10.50,55454,21,6,22,28,0.007670481999715,0.005963925962095,0.028321072740756,0.018847568919823,9.5367431640625E-07,9.5367431640625E-07,0.132258176803589,0.091079950332642,0.10070918855213,0.101809210247464,49.0909090909091,56.4285714285714,11.8202795341084,15.0414393579599,40,40,83,90,1080,1580,12,16,0,0,0,0
1110,192.168.10.5,192.168.10.50,55455,58630,6,18,10,0.001419305801392,0.002670341067844,0.004531664085975,0.006084006076742,9.5367431640625E-07,0,0.019057989120483,0.019388914108276,0.017603383344763,0.019304566913181,1181,42.4,1140.08888542371,4.8,40,40,2960,52,21258,424,4,0,0,0,0,0
1130,192.168.10.25,192.168.10.50,51426,21,6,36,28,0.005173887525286,0.006704736638952,0.020700462522093,0.017429133491517,9.5367431640625E-07,9.5367431640625E-07,0.118911981582642,0.075577974319458,0.102530574798584,0.104297293557061,57.5555555555556,68.2857142857143,10.248155510043,15.484686312744,52,52,95,104,2072,1912,12,16,0,0,0,0
1131,192.168.10.25,192.168.10.50,51427,62400,6,28,24,0.002116406405414,0.002477780632351,0.009410931458647,0.010229447869657,0,0,0.049675941467285,0.050011157989502,0.047546245433666,0.050852982894234,785.5,54.6666666666667,672.683830424283,4.71404520791032,52,52,1500,64,21994,1312,4,0,0,0,0,0
1790,192.168.10.12,192.168.10.50,35534,22,6,44,46,0.029749581980151,0.028422334459093,0.152207284707238,0.141294093952022,2.86102294921875E-06,0,0.996465921401978,0.956231117248535,0.24255406579306,0.21547244919671,112.909090909091,203.521739130435,105.829583890547,303.852062053834,52,52,508,1028,4968,9362,24,26,0,0,0,0
1805,192.168.10.12,192.168.10.50,35536,22,6,44,44,0.029571810434031,0.029569021491117,0.151772176409461,0.14349718749553,9.5367431640625E-07,9.5367431640625E-07,0.997328996658325,0.952195882797241,0.242975207262261,0.2133110623027,114.363636363636,203.136363636364,106.136509635874,309.629734221456,52,52,508,1028,5032,8938,24,24,0,0,0,0
2309,192.168.10.51,192.168.10.50,48286,22,6,44,44,0.031427510949068,0.031422603962033,0.152447317748548,0.144411083267419,0,9.5367431640625E-07,0.994991064071655,0.953555107116699,0.291168035462845,0.265547031580016,112.909090909091,210.409090909091,105.829583890547,311.02479572169,52,52,508,1028,4968,9258,24,24,0,0,0,0
2362,192.168.10.51,192.168.10.50,48287,22,6,44,44,0.031435417574506,0.031430582667506,0.15248048864912,0.144188770335323,9.5367431640625E-07,9.5367431640625E-07,0.997308969497681,0.953517913818359,0.296905417774999,0.271338507186535,114.363636363636,203.136363636364,106.136509635874,309.629734221456,52,52,508,1028,5032,8938,24,24,0,0,0,0
3146,192.168.10.14,192.168.10.50,49649,21,6,22,28,0.007884048280262,0.006127851980704,0.027474222001099,0.018176486266103,9.5367431640625E-07,0,0.126595020294189,0.083453178405762,0.100446542104085,0.100724502846047,49.0909090909091,56.5714285714286,11.8202795341084,15.3656122825069,40,40,83,92,1080,1584,12,16,0,0,0,0
3147,192.168.10.14,192.168.10.50,49650,63651,6,21,10,0.001671397686005,0.003702455096775,0.005035843809494,0.007479319867387,9.5367431640625E-07,3.09944152832031E-06,0.022600173950195,0.022871017456055,0.021869373321533,0.024974346160889,1018,42.4,928.637045300672,4.8,40,40,2960,52,21378,424,4,0,0,0,0,0
3179,192.168.10.16,192.168.10.50,53402,21,6,22,24,0.002078419639951,0.001895386239757,0.004971581644439,0.004276976972508,9.5367431640625E-07,9.5367431640625E-07,0.017236948013306,0.01715898513794,0.020176399321783,0.024752316267594,60.7272727272727,70.9166666666667,11.7866712788094,14.9245789071436,52,52,95,103,1336,1702,12,16,0,0,0,0
3180,192.168.10.16,192.168.10.50,34296,27446,6,19,10,0.000903725624084,0.001783874299791,0.003066876956886,0.004271469569219,9.5367431640625E-07,9.5367431640625E-07,0.013388872146607,0.013698101043701,0.012319366137187,0.013212574852838,1132.52631578947,53.6,1092.44787270178,3.2,52,52,2948,60,21518,536,4,0,0,0,0,0
3881,192.168.10.15,192.168.10.50,59061,22,6,42,46,0.035771753729844,0.032587602403429,0.155875412345701,0.140769847277431,1.9073486328125E-06,9.5367431640625E-07,0.994313955307007,0.951390027999878,0.387140489206081,0.35189642906189,101.714285714286,191.695652173913,99.1973227639608,304.038818285716,40,40,448,1016,4272,8818,24,24,0,0,0,0
3903,192.168.10.15,192.168.10.50,59062,22,6,42,46,0.036953728373458,0.033662954966227,0.156219399977526,0.140647972275703,9.5367431640625E-07,9.5367431640625E-07,0.994243860244751,0.950973987579346,0.422388384981853,0.389198684692383,103.238095238095,184.739130434783,99.5274093675682,304.272506207883,40,40,448,1016,4336,8498,24,24,0,0,0,0
4000,192.168.10.9,192.168.10.50,7813,22,6,38,44,0.040024596291619,0.034435044887454,0.173048235796484,0.148495197678912,1.9073486328125E-06,9.5367431640625E-07,1.0094141960144,0.965749025344849,0.361412434964567,0.3246990137322,108.21052631579,198.590909090909,102.141068057533,308.832796640823,40,40,448,1016,4112,8738,24,26,0,0,0,0
