Unnamed: 0,ip_src,ip_dst,prt_src,prt_dst,proto,fwd_num_pkts,bwd_num_pkts,fwd_mean_iat,bwd_mean_iat,fwd_std_iat,bwd_std_iat,fwd_min_iat,bwd_min_iat,fwd_max_iat,bwd_max_iat,fwd_mean_offset,bwd_mean_offset,fwd_mean_pkt_len,bwd_mean_pkt_len,fwd_std_pkt_len,bwd_std_pkt_len,fwd_min_pkt_len,bwd_min_pkt_len,fwd_max_pkt_len,bwd_max_pkt_len,fwd_num_bytes,bwd_num_bytes,fwd_num_psh_flags,bwd_num_psh_flags,fwd_num_rst_flags,bwd_num_rst_flags,fwd_num_urg_flags,bwd_num_urg_flags
24,192.168.10.50,192.168.10.3,36655,53,17,2,2,2.86102294921875E-06,4.05311584472656E-06,0,0,2.86102294921875E-06,4.05311584472656E-06,2.86102294921875E-06,4.05311584472656E-06,2.86102294921875E-06,4.05311584472656E-06,67,131,0,0,67,131,67,131,134,262,0,0,0,0,0,0
25,192.168.10.50,192.168.10.3,19256,53,17,2,2,9.5367431640625E-07,9.5367431640625E-07,0,0,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,67,122,0,0,67,122,67,122,134,244,0,0,0,0,0,0
30,192.168.10.50,67.213.73.226,123,123,17,18,18,43.7546389944413,43.7545559406281,30.8402739824415,30.8399541070596,1.90139603614807,1.90358901023865,68.9999449253082,69.0118060112,264.735224317102,264.735272267285,76,76,0,0,76,76,76,76,1368,1368,0,0,0,0,0,0
99,192.168.10.50,198.100.147.178,123,123,17,32,32,75.5806413850477,75.5805549390854,45.8223120755263,45.8224646572818,1.81778383255005,1.8187530040741,136.99996805191,136.996706008911,830.557242762658,830.554511116397,76,76,0,0,76,76,76,76,2432,2432,0,0,0,0,0,0
100,192.168.10.50,192.168.10.3,21018,53,17,2,2,2.86102294921875E-06,3.814697265625E-06,0,0,2.86102294921875E-06,3.814697265625E-06,2.86102294921875E-06,3.814697265625E-06,2.86102294921875E-06,3.814697265625E-06,67,131,0,0,67,131,67,131,134,262,0,0,0,0,0,0
101,192.168.10.50,192.168.10.3,42233,53,17,2,2,9.5367431640625E-07,4.79221343994141E-05,0,0,9.5367431640625E-07,4.79221343994141E-05,9.5367431640625E-07,4.79221343994141E-05,9.5367431640625E-07,4.79221343994141E-05,67,122,0,0,67,122,67,122,134,244,0,0,0,0,0,0
140,192.168.10.50,158.69.125.231,123,123,17,17,17,42.4947076290846,42.4942469447851,31.3257743907408,31.3263057857149,1.81778407096863,1.81860899925232,69.0000638961792,69.0002729892731,236.998536631465,236.991317391396,76,76,0,0,76,76,76,76,1292,1292,0,0,0,0,0,0
189,192.168.10.50,206.108.0.131,123,123,17,16,16,40.3999943415324,40.3999740600586,31.5738555520127,31.5738632295865,1.00684404373169,1.00689196586609,68.0000400543213,68.0000700950623,204.759971809387,204.759800465902,76,76,0,0,76,76,76,76,1216,1216,0,0,0,0,0,0
190,192.168.10.50,206.108.0.133,123,123,17,15,15,38.7857056515557,38.7856665679387,31.978135486801,31.9781461820791,1.81778407096863,1.81740498542786,69.0000281333923,68.9998271465302,178.38011603696,178.379651444299,76,76,0,0,76,76,76,76,1140,1140,0,0,0,0,0,0
191,192.168.10.50,192.168.10.3,56065,53,17,2,2,3.09944152832031E-06,3.09944152832031E-06,0,0,3.09944152832031E-06,3.09944152832031E-06,3.09944152832031E-06,3.09944152832031E-06,3.09944152832031E-06,3.09944152832031E-06,67,131,0,0,67,131,67,131,134,262,0,0,0,0,0,0
192,192.168.10.50,192.168.10.3,25324,53,17,2,2,1.50203704833984E-05,3.09944152832031E-06,0,0,1.50203704833984E-05,3.09944152832031E-06,1.50203704833984E-05,3.09944152832031E-06,1.50203704833984E-05,3.09944152832031E-06,67,179,0,0,67,179,67,179,134,358,0,0,0,0,0,0
198,192.168.10.50,108.61.73.244,123,123,17,33,33,74.6552357822656,74.6552359983325,44.7586884865722,44.7586382243832,1.90139603614807,1.90166687965393,134.00000500679,134.000025987625,853.350416518748,853.35042283684,76,76,0,0,76,76,76,76,2508,2508,0,0,0,0,0,0
260,192.168.10.50,192.168.10.3,123,123,17,54,54,44.5468082293025,44.5468093224292,50.7658741395235,50.7658765632407,2.14576721191406E-06,9.5367431640625E-07,135.000079870224,135.000079870224,1000.43397780634,1000.4340528947,76,76,0,0,76,76,76,76,4104,4104,0,0,0,0,0,0
261,192.168.10.50,45.33.41.203,123,123,17,15,15,39.0700529984065,39.0700629268374,31.9067296855374,31.9067577732183,1.92180800437927,1.92180109024048,69.000009059906,69.0000669956207,180.491128461702,180.491281594549,76,76,0,0,76,76,76,76,1140,1140,0,0,0,0,0,0
262,192.168.10.50,208.81.1.244,123,123,17,17,17,42.4987886250019,42.4987910538912,31.5807666318159,31.5807534283117,1.04241108894348,1.0425078868866,69.0000281333923,69.0000419616699,236.938023746014,236.938089296222,76,76,0,0,76,76,76,76,1292,1292,0,0,0,0,0,0
263,192.168.10.50,206.108.0.132,123,123,17,15,15,38.7843350853239,38.7843411309379,31.9774486343842,31.9774265258286,1.92185497283936,1.92208194732666,68.9999740123749,69.000091791153,178.362499203001,178.362614631653,76,76,0,0,76,76,76,76,1140,1140,0,0,0,0,0,0
264,192.168.10.50,192.168.10.3,10538,53,17,2,2,2.14576721191406E-06,3.09944152832031E-06,0,0,2.14576721191406E-06,3.09944152832031E-06,2.14576721191406E-06,3.09944152832031E-06,2.14576721191406E-06,3.09944152832031E-06,67,131,0,0,67,131,67,131,134,262,0,0,0,0,0,0
265,192.168.10.50,192.168.10.3,59451,53,17,2,2,9.5367431640625E-07,4.91142272949219E-05,0,0,9.5367431640625E-07,4.91142272949219E-05,9.5367431640625E-07,4.91142272949219E-05,9.5367431640625E-07,4.91142272949219E-05,67,122,0,0,67,122,67,122,134,244,0,0,0,0,0,0
271,192.168.10.50,4.53.160.75,123,123,17,31,31,77.6982879002889,77.6982826312383,47.5438097047791,47.543811962662,1.92186713218689,1.92212080955505,136.999932050705,136.999887943268,822.522139549255,822.522048640251,76,76,0,0,76,76,76,76,2356,2356,0,0,0,0,0,0
