Unnamed: 0,ip_src,ip_dst,prt_src,prt_dst,proto,fwd_num_pkts,bwd_num_pkts,fwd_mean_iat,bwd_mean_iat,fwd_std_iat,bwd_std_iat,fwd_min_iat,bwd_min_iat,fwd_max_iat,bwd_max_iat,fwd_mean_offset,bwd_mean_offset,fwd_mean_pkt_len,bwd_mean_pkt_len,fwd_std_pkt_len,bwd_std_pkt_len,fwd_min_pkt_len,bwd_min_pkt_len,fwd_max_pkt_len,bwd_max_pkt_len,fwd_num_bytes,bwd_num_bytes,fwd_num_psh_flags,bwd_num_psh_flags,fwd_num_rst_flags,bwd_num_rst_flags,fwd_num_urg_flags,bwd_num_urg_flags
100,192.168.10.50,108.61.73.244,123,123,17,10,10,130.777844667435,130.777847210566,1.87248040438897,1.87243483236045,128.000027179718,128.000313997269,133.999931097031,133.999919176102,655.111487838957,655.11158156395,76,76,0,0,76,76,76,76,760,760,0,0,0,0,0,0
106,192.168.10.12,192.168.10.50,55850,22,6,44,44,0.029266418412674,0.029260579929795,0.151540607236547,0.143419240447622,9.5367431640625E-07,9.5367431640625E-07,0.995139837265015,0.951291084289551,0.232969284057617,0.202043250549671,112.909090909091,210.409090909091,105.829583890547,311.02479572169,52,52,508,1028,4968,9258,24,24,0,0,0,0
111,192.168.10.12,192.168.10.50,55852,22,6,44,44,0.030236094496971,0.030231836230256,0.151842129166808,0.144046813638333,9.5367431640625E-07,9.5367431640625E-07,0.997512102127075,0.955814838409424,0.256915225539097,0.229814562686654,114.363636363636,203.136363636364,106.136509635874,309.629734221456,52,52,508,1028,5032,8938,24,24,0,0,0,0
204,192.168.10.17,192.168.10.50,44490,22,6,44,44,0.029386980589046,0.029382251029791,0.151573360710029,0.143770403943761,9.5367431640625E-07,9.5367431640625E-07,0.994980096817017,0.953150033950806,0.235721344171568,0.205427607824636,112.909090909091,210.409090909091,105.829583890547,309.470612364656,52,52,508,1028,4968,9258,24,24,0,0,0,0
209,192.168.10.17,192.168.10.50,44491,22,6,44,44,0.032454235609188,0.032450842302899,0.154073749541004,0.145078563974275,9.5367431640625E-07,9.5367431640625E-07,0.996946096420288,0.953180074691772,0.305639666180278,0.283366657966791,114.363636363636,203.136363636364,106.136509635874,309.629734221456,52,52,508,1028,5032,8938,24,24,0,0,0,0
267,192.168.10.15,192.168.10.50,53270,22,6,42,48,0.037299633026123,0.032534127539777,0.157878489166268,0.139556062921568,2.86102294921875E-06,9.5367431640625E-07,0.995568037033081,0.953922033309936,0.418535825682849,0.388760313074639,101.714285714286,185.375,99.1973227639608,298.916071345007,40,40,448,1016,4272,8898,24,26,0,0,0,0
272,192.168.10.15,192.168.10.50,53271,22,6,42,46,0.035732606562173,0.032551532321506,0.156393113185412,0.141294827102863,2.86102294921875E-06,0,0.996397972106934,0.954278945922852,0.385226906799689,0.349958599938287,103.238095238095,184.739130434783,99.5274093675682,304.311370487433,40,40,448,1016,4336,8498,24,24,0,0,0,0
273,172.16.0.1,192.168.10.50,52098,80,6,17,13,0.379747495055199,0.506324410438538,1.21098183059946,1.37553845579933,3.814697265625E-06,6.91413879394531E-05,5.00517201423645,5.00513982772827,0.58071281015873,1.15352197488149,206.294117647059,1062.84615384615,190.517488684923,1848.8700851374,52,52,611,7292,3507,13817,7,7,0,0,0,0
278,172.16.0.1,192.168.10.50,52100,80,6,4,2,1.98217336336772,5.94596314430237,2.80218115910269,0,0.000648021697998,5.94596314430237,5.94505596160889,5.94596314430237,3.96429069836934,5.94596314430237,54,56,3.46410161513775,4,52,52,60,60,216,112,0,0,0,0,0,0
285,172.16.0.1,192.168.10.50,52118,80,6,4,2,1.87978434562683,5.63862299919128,2.6573035021384,0,0.000747919082642,5.63862299919128,5.63777899742126,5.63862299919128,3.75954262415568,5.63862299919128,54,56,3.46410161513775,4,52,52,60,60,216,112,0,0,0,0,0,0
