Unnamed: 0,ip_src,ip_dst,prt_src,prt_dst,proto,fwd_num_pkts,bwd_num_pkts,fwd_mean_iat,bwd_mean_iat,fwd_std_iat,bwd_std_iat,fwd_min_iat,bwd_min_iat,fwd_max_iat,bwd_max_iat,fwd_mean_offset,bwd_mean_offset,fwd_mean_pkt_len,bwd_mean_pkt_len,fwd_std_pkt_len,bwd_std_pkt_len,fwd_min_pkt_len,bwd_min_pkt_len,fwd_max_pkt_len,bwd_max_pkt_len,fwd_num_bytes,bwd_num_bytes,fwd_num_psh_flags,bwd_num_psh_flags,fwd_num_rst_flags,bwd_num_rst_flags,fwd_num_urg_flags,bwd_num_urg_flags
17,192.168.10.50,172.16.0.1,21,52186,6,8,4,0.426493712833949,0.994924942652384,1.02677132535762,1.40630739393123,3.09944152832031E-06,0.000236988067627,2.94130682945251,2.98374390602112,1.71205166407994,1.99003553390503,58.75,63.5,15.9980467557762,6.83739716558867,40,52,86,70,470,254,3,3,2,0,0,0
18,192.168.10.50,172.16.0.1,21,52188,6,8,4,0.427534682410104,0.997273683547974,1.02929821383171,1.409790878161,3.09944152832031E-06,2.86102294921875E-06,2.94854187965393,2.99101901054382,1.71628189086914,1.99481280644735,58.75,63.75,15.9980467557762,7.08431365765238,40,52,86,71,470,255,3,3,2,0,0,0
19,192.168.10.50,172.16.0.1,21,52190,6,8,4,0.426564863749913,0.99501363436381,1.02702110524134,1.40639168737624,4.69684600830078E-05,0.00026798248291,2.94199705123901,2.98395180702209,1.71231457165309,1.99021164576213,58.75,63.25,15.9980467557762,6.60965203320114,40,52,86,69,470,253,3,3,2,0,0,0
21,192.168.10.50,172.16.0.1,21,52184,6,8,4,0.425072125026158,0.991480986277262,1.02262174169917,1.40152389613793,4.05311584472656E-06,0.000169038772583,2.92970585823059,2.97353506088257,1.70682729993548,1.98315191268921,58.75,63.5,15.9980467557762,6.83739716558867,40,52,86,70,470,254,3,3,2,0,0,0
22,192.168.10.50,172.16.0.1,21,52180,6,8,4,0.426499877657209,0.994886000951131,1.02603712668161,1.40643896425165,3.09944152832031E-06,2.86102294921875E-06,2.93949508666992,2.98389101028442,1.71236450331552,1.99002575874329,58.75,63.75,15.9980467557762,7.08431365765238,40,52,86,71,470,255,3,3,2,0,0,0
23,192.168.10.50,172.16.0.1,21,52178,6,8,4,0.427206311907087,0.996406396230062,1.02781346216412,1.40845120443676,3.09944152832031E-06,0.000226020812988,2.94455885887146,2.98825716972351,1.71530665670122,1.99298278490702,58.75,63.25,15.9980467557762,6.60965203320114,40,52,86,69,470,253,3,3,2,0,0,0
24,192.168.10.50,172.16.0.1,21,52182,6,8,4,0.428794588361468,1.00013073285421,1.0317462008069,1.41388984835277,2.86102294921875E-06,3.09944152832031E-06,2.95578098297119,2.99967288970947,1.72167505536761,2.00049916903178,58.75,63.5,15.9980467557762,6.83739716558867,40,52,86,70,470,254,3,3,2,0,0,0
26,192.168.10.50,192.168.10.3,52578,3268,6,188,96,2.00389267926548,3.94450086292468,3.60170256829526,4.22887512409179,9.5367431640625E-07,9.5367431640625E-07,16.2178809642792,16.218288898468,187.702962222584,192.628018750642,249.81914893617,120.5,200.944999501873,16.7854103315945,52,40,455,124,46966,11568,94,92,0,4,0,0
27,192.168.10.50,192.168.10.3,53590,389,6,190,96,1.98268398406014,3.94449338912964,3.58849930678244,4.22890071945777,9.5367431640625E-07,9.5367431640625E-07,16.2179210186005,16.2182791233063,189.682155783214,192.628120367151,247.610526315789,354.583333333333,201.028319279535,64.355727967464,40,40,455,368,47046,34040,94,92,2,2,0,0
48,192.168.10.51,192.168.10.50,52929,22,6,46,44,0.029916334152222,0.031302862389143,0.148826242395404,0.144173225240297,9.5367431640625E-07,0,0.994606018066406,0.952574014663696,0.281295050515069,0.264552604320437,110.260869565217,210.409090909091,104.246037310279,311.02479572169,52,52,508,1028,5072,9258,24,24,0,0,0,0
61,192.168.10.50,172.16.0.1,21,52174,6,4,2,0.000364939371745,0.00023889541626,0.000384837539649,0,3.814697265625E-06,0.00023889541626,0.000898122787476,0.00023889541626,0.000666856765747,0.00023889541626,51.5,59,13.8834433769148,7,40,52,74,66,206,118,1,1,2,0,0,0
62,192.168.10.50,172.16.0.1,21,52172,6,4,2,0.000313997268677,0.000221014022827,0.000314643218857,0,2.86102294921875E-06,0.000221014022827,0.000745058059692,0.000221014022827,0.000564257303874,0.000221014022827,51.5,59,13.8834433769148,7,40,52,74,66,206,118,1,1,2,0,0,0
64,192.168.10.50,172.16.0.1,21,52176,6,4,2,0.000308990478516,0.000239133834839,0.000324336267001,0,3.09944152832031E-06,0.000239133834839,0.000757932662964,0.000239133834839,0.000563700993856,0.000239133834839,51.5,59,13.8834433769148,7,40,52,74,66,206,118,1,1,2,0,0,0
66,172.16.0.1,192.168.10.50,52192,21,6,11,17,0.920040798187256,0.575022429227829,1.40717500898439,1.17787024156396,4.05311584472656E-06,2.86102294921875E-06,3.25300788879395,3.20931386947632,3.65251231193542,4.57249239087105,62.8181818181818,62.1176470588235,7.32142785152759,15.2079017887613,52,40,74,86,691,1056,7,7,0,2,0,0
67,172.16.0.1,192.168.10.50,52194,21,6,11,17,0.919528412818909,0.574703186750412,1.4065023567688,1.17746323909223,3.09944152832031E-06,2.86102294921875E-06,3.25459718704224,3.21185207366943,3.64849700927734,4.56755271553993,63.0909090909091,62.1176470588235,7.51307400414341,15.2079017887613,52,40,73,86,694,1056,7,7,0,2,0,0
68,172.16.0.1,192.168.10.50,52196,21,6,11,17,0.918897294998169,0.574309304356575,1.40519091149696,1.17619525276358,3.09944152832031E-06,2.86102294921875E-06,3.25115489959717,3.20860815048218,3.64681622982025,4.56533876061439,63,62.1176470588235,7.39778836729416,15.2079017887613,52,40,72,86,693,1056,7,7,0,2,0,0
89,192.168.10.51,192.168.10.50,52930,22,6,48,42,0.028425617420927,0.032580387301561,0.145627575649512,0.147811968633008,9.5367431640625E-07,1.9073486328125E-06,0.997604131698608,0.956896066665649,0.274172072714948,0.257905343683754,109.166666666667,210.333333333333,103.069421049871,315.113181984374,52,52,508,1028,5240,8834,24,24,0,0,0,0
119,172.16.0.1,192.168.10.50,52198,21,6,11,17,0.871123790740967,0.544444009661675,1.34347074509626,1.12272180506131,9.5367431640625E-07,2.86102294921875E-06,3.3823390007019,3.34068703651428,3.6577764749527,4.57882057130337,62.5454545454546,62.1176470588235,6.91984808508548,15.2079017887613,52,40,70,86,688,1056,7,7,0,2,0,0
120,172.16.0.1,192.168.10.50,52200,21,6,11,17,0.869080185890198,0.543174996972084,1.34024717578218,1.11851510426651,2.00271606445312E-05,2.86102294921875E-06,3.37514185905456,3.32627105712891,3.64850559234619,4.56790086627007,63.1818181818182,62.1176470588235,7.69673108673335,15.2079017887613,52,40,75,86,695,1056,7,7,0,2,0,0
121,172.16.0.1,192.168.10.50,52202,21,6,11,17,0.87024610042572,0.543903321027756,1.34270304662377,1.12176376729995,0.000204086303711,2.86102294921875E-06,3.38880205154419,3.34780716896057,3.65582077503204,4.57681933045387,63,62.1176470588235,7.53175097353017,15.2079017887613,52,40,75,86,693,1056,7,7,0,2,0,0
122,172.16.0.1,192.168.10.50,52204,21,6,11,17,0.871420288085938,0.544633314013481,1.34353059878481,1.12143224868448,3.09944152832031E-06,3.09944152832031E-06,3.38027310371399,3.33179497718811,3.65930297374725,4.58138516545296,63.2727272727273,62.1176470588235,7.73528995861187,15.2079017887613,52,40,74,86,696,1056,7,7,0,2,0,0
123,172.16.0.1,192.168.10.50,52206,21,6,11,17,0.93108868598938,0.581926941871643,1.37584642523481,1.15698249153137,3.814697265625E-06,2.86102294921875E-06,3.38344287872314,3.34064984321594,4.10223014354706,5.09339089691639,63.3636363636364,62.1176470588235,7.8656066895721,15.2079017887613,52,40,75,86,697,1056,7,7,0,2,0,0
124,172.16.0.1,192.168.10.50,52208,21,6,11,17,0.930797410011292,0.581743627786636,1.37579107066834,1.15671916845218,3.09944152832031E-06,2.86102294921875E-06,3.37637591362,3.33251309394836,4.09900629520416,5.089748904109,63,62.1176470588235,7.39778836729416,15.2079017887613,52,40,72,86,693,1056,7,7,0,2,0,0
126,172.16.0.1,192.168.10.50,52210,21,6,11,17,0.928718900680542,0.580448746681213,1.37518623057448,1.15612622080424,2.14576721191406E-06,2.86102294921875E-06,3.37274503707886,3.32882785797119,4.0818172454834,5.06974577903748,63.5454545454545,62.1176470588235,8.18383813449229,15.2079017887613,52,40,77,86,699,1056,7,7,0,2,0,0
333,172.16.0.1,192.168.10.50,52212,21,6,11,17,0.845969200134277,0.528725311160088,1.30875146946204,1.09190445532216,1.50203704833984E-05,2.14576721191406E-06,3.35035586357117,3.30764603614807,3.18503875732422,3.98809745907784,63.2727272727273,62.1176470588235,7.69995170103989,15.2079017887613,52,40,73,86,696,1056,7,7,0,2,0,0
334,172.16.0.1,192.168.10.50,52214,21,6,11,17,0.843809199333191,0.527381494641304,1.30713108873302,1.09035552892573,2.86102294921875E-06,2.86102294921875E-06,3.35021018981934,3.30768799781799,3.17546074390411,3.97625833749771,63.7272727272727,62.1176470588235,8.24721340366671,15.2079017887613,52,40,75,86,701,1056,7,7,0,2,0,0
335,172.16.0.1,192.168.10.50,52216,21,6,11,17,0.843969488143921,0.527479320764542,1.30789129479819,1.09062519866095,2.86102294921875E-06,2.86102294921875E-06,3.35306215286255,3.30451011657715,3.17543425559998,3.97639141976833,63.7272727272727,62.1176470588235,8.24721340366671,15.2079017887613,52,40,75,86,701,1056,7,7,0,2,0,0
353,172.16.0.1,192.168.10.50,52218,21,6,11,17,0.907791090011597,0.567364558577538,1.39027511273558,1.16311962440268,0.000245094299316,2.86102294921875E-06,3.35069799423218,3.30802202224731,3.66960580348969,4.59312997758388,63.2727272727273,62.1176470588235,7.69995170103989,15.2079017887613,52,40,73,86,696,1056,7,7,0,2,0,0
354,172.16.0.1,192.168.10.50,52220,21,6,11,17,0.90662350654602,0.566639438271523,1.38991304144491,1.16235206928311,4.79221343994141E-05,9.5367431640625E-07,3.3474109172821,3.30456495285034,3.66490497589111,4.58820694684982,63.3636363636364,62.1176470588235,7.81923882918079,15.2079017887613,52,40,74,86,697,1056,7,7,0,2,0,0
355,172.16.0.1,192.168.10.50,52222,21,6,11,17,0.905864596366882,0.566165491938591,1.38883475238895,1.16109974843552,3.09944152832031E-06,9.5367431640625E-07,3.34893393516541,3.30033898353577,3.66152586936951,4.58409117162228,63.3636363636364,62.1176470588235,7.79595148164303,15.2079017887613,52,40,73,86,697,1056,7,7,0,2,0,0
356,172.16.0.1,192.168.10.50,52224,21,6,11,17,0.926214909553528,0.57888200879097,1.3764352082489,1.15650543935817,2.86102294921875E-06,2.86102294921875E-06,3.34945321083069,3.30693602561951,3.84544916152954,4.78797450661659,63.6363636363636,62.1176470588235,8.12708968677346,15.2079017887613,52,40,74,86,700,1056,7,7,0,2,0,0
382,172.16.0.1,192.168.10.50,52226,21,6,11,17,0.953765296936035,0.596096873283386,1.45683165423234,1.21939763318055,2.14576721191406E-06,2.14576721191406E-06,3.3505961894989,3.30745196342468,3.76288418769836,4.70970076322555,63.3636363636364,62.1176470588235,7.79595148164303,15.2079017887613,52,40,73,86,697,1056,7,7,0,2,0,0
383,172.16.0.1,192.168.10.50,52228,21,6,11,17,0.953592205047607,0.595994561910629,1.45786322046448,1.22115516101357,0.0002281665802,3.09944152832031E-06,3.34721088409424,3.30457806587219,3.76004128456116,4.70680052042007,63.8181818181818,62.1176470588235,8.33195580901062,15.2079017887613,52,40,74,86,702,1056,7,7,0,2,0,0
384,172.16.0.1,192.168.10.50,52230,21,6,11,17,0.953987908363342,0.596242502331734,1.45857443576578,1.22171763718411,1.19209289550781E-06,1.19209289550781E-06,3.34848499298096,3.30457711219788,3.76282794475555,4.71031218767166,63.4545454545455,62.1176470588235,7.9127473261778,15.2079017887613,52,40,74,86,698,1056,7,7,0,2,0,0
539,192.168.10.25,192.168.10.50,49265,139,6,52,32,0.001520881465837,0.002491620279128,0.006901722558915,0.007512339948862,9.5367431640625E-07,2.86102294921875E-06,0.047911882400513,0.040322065353394,0.053357853608973,0.053499198728992,100.307692307692,153.8125,64.2032644933078,131.291764188581,52,52,246,519,5216,4922,22,22,0,0,0,0
550,192.168.10.50,192.168.10.3,30456,53,17,2,2,3.09944152832031E-06,2.86102294921875E-06,0,0,3.09944152832031E-06,2.86102294921875E-06,3.09944152832031E-06,2.86102294921875E-06,3.09944152832031E-06,2.86102294921875E-06,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
551,192.168.10.50,192.168.10.3,59063,53,17,2,2,9.5367431640625E-07,9.5367431640625E-07,0,0,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
552,192.168.10.50,192.168.10.3,35760,53,17,2,2,3.09944152832031E-06,2.86102294921875E-06,0,0,3.09944152832031E-06,2.86102294921875E-06,3.09944152832031E-06,2.86102294921875E-06,3.09944152832031E-06,2.86102294921875E-06,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
553,192.168.10.50,192.168.10.3,44126,53,17,2,2,9.5367431640625E-07,1.19209289550781E-06,0,0,9.5367431640625E-07,1.19209289550781E-06,9.5367431640625E-07,1.19209289550781E-06,9.5367431640625E-07,1.19209289550781E-06,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
554,192.168.10.50,192.168.10.3,49474,53,17,2,2,2.14576721191406E-06,4.79221343994141E-05,0,0,2.14576721191406E-06,4.79221343994141E-05,2.14576721191406E-06,4.79221343994141E-05,2.14576721191406E-06,4.79221343994141E-05,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
555,192.168.10.50,192.168.10.3,2173,53,17,2,2,9.5367431640625E-07,9.5367431640625E-07,0,0,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
556,192.168.10.50,192.168.10.3,29257,53,17,2,2,4.81605529785156E-05,4.79221343994141E-05,0,0,4.81605529785156E-05,4.79221343994141E-05,4.81605529785156E-05,4.79221343994141E-05,4.81605529785156E-05,4.79221343994141E-05,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
557,192.168.10.50,192.168.10.3,38426,53,17,2,2,9.5367431640625E-07,1.19209289550781E-06,0,0,9.5367431640625E-07,1.19209289550781E-06,9.5367431640625E-07,1.19209289550781E-06,9.5367431640625E-07,1.19209289550781E-06,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
558,192.168.10.50,192.168.10.3,15433,53,17,2,2,3.814697265625E-06,3.09944152832031E-06,0,0,3.814697265625E-06,3.09944152832031E-06,3.814697265625E-06,3.09944152832031E-06,3.814697265625E-06,3.09944152832031E-06,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
559,192.168.10.50,192.168.10.3,26343,53,17,2,2,1.19209289550781E-06,9.5367431640625E-07,0,0,1.19209289550781E-06,9.5367431640625E-07,1.19209289550781E-06,9.5367431640625E-07,1.19209289550781E-06,9.5367431640625E-07,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
