Unnamed: 0,ip_src,ip_dst,prt_src,prt_dst,proto,fwd_num_pkts,bwd_num_pkts,fwd_mean_iat,bwd_mean_iat,fwd_std_iat,bwd_std_iat,fwd_min_iat,bwd_min_iat,fwd_max_iat,bwd_max_iat,fwd_mean_offset,bwd_mean_offset,fwd_mean_pkt_len,bwd_mean_pkt_len,fwd_std_pkt_len,bwd_std_pkt_len,fwd_min_pkt_len,bwd_min_pkt_len,fwd_max_pkt_len,bwd_max_pkt_len,fwd_num_bytes,bwd_num_bytes,fwd_num_psh_flags,bwd_num_psh_flags,fwd_num_rst_flags,bwd_num_rst_flags,fwd_num_urg_flags,bwd_num_urg_flags
367,192.168.10.16,192.168.10.50,45856,22,6,44,46,0.031330136365669,0.029932509528266,0.152532421445705,0.140709690335128,1.9073486328125E-06,0,0.995934009552002,0.949865102767944,0.288884295973667,0.267009237077501,112.909090909091,203.521739130435,105.829583890547,303.852062053834,52,52,508,1028,4968,9362,24,26,0,0,0,0
368,192.168.10.50,192.168.10.3,53098,3268,6,200,102,2.85091295434003,5.61714225712389,6.59928040297846,8.38734297241751,0,9.5367431640625E-07,50.7596039772034,50.8027698993683,304.886820002417,311.591216830924,250.04,120.705882352941,200.980243805206,16.305050483831,52,40,455,124,50008,12312,100,98,0,4,0,0
369,192.168.10.50,192.168.10.3,54112,389,6,200,102,2.8509088137641,5.61713541616308,6.59937709589301,8.38730351077208,9.5367431640625E-07,9.5367431640625E-07,50.7606201171875,50.8026759624481,304.887123575163,311.591615100898,250.04,355.372549019608,200.980243805206,62.5139861321445,52,40,455,368,50008,36248,100,98,0,2,0,0
370,192.168.10.16,192.168.10.50,45858,22,6,44,44,0.031716185946797,0.03171137321827,0.152334605178866,0.144249151639142,9.5367431640625E-07,9.5367431640625E-07,0.996525049209595,0.953885078430176,0.303778609564138,0.27924193892368,114.363636363636,203.136363636364,106.136509635874,309.589801255342,52,52,508,1028,5032,8938,24,24,0,0,0,0
380,192.168.10.9,192.168.10.50,6605,21,6,22,28,0.012268089112781,0.009541635160093,0.037222533811515,0.029590221456819,9.5367431640625E-07,0,0.139055013656616,0.13869309425354,0.132177023660569,0.123594575458103,49.0909090909091,56.5714285714286,11.8202795341084,15.3656122825069,40,40,83,92,1080,1584,12,16,0,0,0,0
381,192.168.10.9,192.168.10.50,6606,36557,6,19,10,0.007727887895372,0.015434212154812,0.026058686593179,0.03528925650419,9.5367431640625E-07,0,0.112367868423462,0.112587928771973,0.104173488087124,0.111831665039063,1120.94736842105,42.4,1096.96252748378,4.8,40,40,2960,52,21298,424,4,0,0,0,0,0
387,192.168.10.9,192.168.10.50,137,137,17,2,2,3.09944152832031E-06,3.09944152832031E-06,0,0,3.09944152832031E-06,3.09944152832031E-06,3.09944152832031E-06,3.09944152832031E-06,3.09944152832031E-06,3.09944152832031E-06,78,257,0,0,78,257,78,257,156,514,0,0,0,0,0,0
428,192.168.10.51,192.168.10.50,56894,22,6,44,44,0.030341603035151,0.03033420651458,0.151263554917328,0.143543337580731,9.5367431640625E-07,9.5367431640625E-07,0.995064973831177,0.951864004135132,0.26898043100224,0.241298176521479,112.909090909091,210.409090909091,105.829583890547,311.02479572169,52,52,508,1028,4968,9258,24,24,0,0,0,0
467,192.168.10.51,192.168.10.50,56895,22,6,44,44,0.031434258749319,0.031430627024451,0.152122742136991,0.143933044688551,9.5367431640625E-07,9.5367431640625E-07,0.995023965835571,0.951804876327515,0.296816105066344,0.27131034607111,114.363636363636,203.136363636364,106.136509635874,309.629734221456,52,52,508,1028,5032,8938,24,24,0,0,0,0
763,192.168.10.50,192.168.10.16,139,58110,6,24,24,143.494909607846,143.494909732238,149.875541708934,149.875536340316,2.86102294921875E-06,0,300.051717996597,300.051774024963,1721.9531981945,1721.95320058906,56,52,0,0,56,52,56,52,1344,1248,24,0,0,0,0,0
1357,192.168.10.51,192.168.10.50,54592,21,6,22,28,0.006241571335565,0.004851482532643,0.02464349707368,0.015765646120987,9.5367431640625E-07,9.5367431640625E-07,0.115905046463013,0.073807001113892,0.072147766749064,0.086591305556121,60.7272727272727,68.2142857142857,11.7866712788094,15.3212204448069,52,52,95,103,1336,1910,12,16,0,0,0,0
1358,192.168.10.51,192.168.10.50,37375,34358,6,19,10,0.000638061099582,0.001238107681274,0.002135405415667,0.002992913811007,9.5367431640625E-07,9.5367431640625E-07,0.009361028671265,0.009597063064575,0.008833832210965,0.009215646319919,1132.52631578947,53.6,1148.95789709958,3.2,52,52,2948,60,21518,536,4,0,0,0,0,0
1413,192.168.10.25,192.168.10.50,56839,21,6,36,28,0.004449367523193,0.005763477749295,0.019579184538489,0.016298186353857,9.5367431640625E-07,0,0.113030195236206,0.069695949554443,0.091849422454834,0.093143984123513,57.5555555555556,68.2857142857143,10.248155510043,15.484686312744,52,52,95,104,2072,1912,12,16,0,0,0,0
1414,192.168.10.25,192.168.10.50,56840,43639,6,28,24,0.001362888901322,0.001596347145412,0.005528075713772,0.006013677410109,0,9.5367431640625E-07,0.028599977493286,0.028815031051636,0.029177639219496,0.030967163003009,785.5,54.6666666666667,672.683830424283,4.71404520791032,52,52,1500,64,21994,1312,4,0,0,0,0,0
2212,192.168.10.25,192.168.10.50,56851,139,6,52,32,0.001537940081428,0.002524322079074,0.007066151541905,0.008008900714954,0,2.86102294921875E-06,0.048878908157349,0.043190956115723,0.054896976433548,0.055317809504847,100.307692307692,152.125,64.2032644933078,126.67965256899,52,52,246,492,5216,4868,22,22,0,0,0,0
2214,192.168.10.50,192.168.10.3,55984,53,17,2,2,3.09944152832031E-06,4.69684600830078E-05,0,0,3.09944152832031E-06,4.69684600830078E-05,3.09944152832031E-06,4.69684600830078E-05,3.09944152832031E-06,4.69684600830078E-05,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
2215,192.168.10.50,192.168.10.3,14047,53,17,2,2,9.5367431640625E-07,9.5367431640625E-07,0,0,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
2216,192.168.10.50,192.168.10.3,64129,53,17,2,2,4.05311584472656E-06,4.79221343994141E-05,0,0,4.05311584472656E-06,4.79221343994141E-05,4.05311584472656E-06,4.79221343994141E-05,4.05311584472656E-06,4.79221343994141E-05,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
2217,192.168.10.50,192.168.10.3,58030,53,17,2,2,1.28746032714844E-05,9.5367431640625E-07,0,0,1.28746032714844E-05,9.5367431640625E-07,1.28746032714844E-05,9.5367431640625E-07,1.28746032714844E-05,9.5367431640625E-07,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
2218,192.168.10.50,192.168.10.3,51812,53,17,2,2,3.814697265625E-06,4.79221343994141E-05,0,0,3.814697265625E-06,4.79221343994141E-05,3.814697265625E-06,4.79221343994141E-05,3.814697265625E-06,4.79221343994141E-05,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
2219,192.168.10.50,192.168.10.3,2414,53,17,2,2,9.5367431640625E-07,9.5367431640625E-07,0,0,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
2220,192.168.10.50,192.168.10.3,27199,53,17,2,2,3.814697265625E-06,2.14576721191406E-06,0,0,3.814697265625E-06,2.14576721191406E-06,3.814697265625E-06,2.14576721191406E-06,3.814697265625E-06,2.14576721191406E-06,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
2221,192.168.10.50,192.168.10.3,54891,53,17,2,2,9.5367431640625E-07,9.5367431640625E-07,0,0,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
2222,192.168.10.50,192.168.10.3,16464,53,17,2,2,3.814697265625E-06,2.86102294921875E-06,0,0,3.814697265625E-06,2.86102294921875E-06,3.814697265625E-06,2.86102294921875E-06,3.814697265625E-06,2.86102294921875E-06,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
2223,192.168.10.50,192.168.10.3,43079,53,17,2,2,9.5367431640625E-07,9.5367431640625E-07,0,0,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
2224,192.168.10.50,192.168.10.3,41497,53,17,2,2,4.05311584472656E-06,2.86102294921875E-06,0,0,4.05311584472656E-06,2.86102294921875E-06,4.05311584472656E-06,2.86102294921875E-06,4.05311584472656E-06,2.86102294921875E-06,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
2225,192.168.10.50,192.168.10.3,35841,53,17,2,2,0,9.5367431640625E-07,0,0,0,9.5367431640625E-07,0,9.5367431640625E-07,0,9.5367431640625E-07,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
2226,192.168.10.50,192.168.10.3,57747,53,17,2,2,1.9073486328125E-06,1.9073486328125E-06,0,0,1.9073486328125E-06,1.9073486328125E-06,1.9073486328125E-06,1.9073486328125E-06,1.9073486328125E-06,1.9073486328125E-06,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
2227,192.168.10.50,192.168.10.3,23511,53,17,2,2,9.5367431640625E-07,9.5367431640625E-07,0,0,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
2228,192.168.10.50,192.168.10.3,30759,53,17,2,2,5.00679016113281E-05,4.79221343994141E-05,0,0,5.00679016113281E-05,4.79221343994141E-05,5.00679016113281E-05,4.79221343994141E-05,5.00679016113281E-05,4.79221343994141E-05,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
2229,192.168.10.50,192.168.10.3,53607,53,17,2,2,9.5367431640625E-07,9.5367431640625E-07,0,0,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,9.5367431640625E-07,51,51,0,0,51,51,51,51,102,102,0,0,0,0,0,0
2303,192.168.10.3,192.168.10.50,137,137,17,2,2,3.09944152832031E-06,3.09944152832031E-06,0,0,3.09944152832031E-06,3.09944152832031E-06,3.09944152832031E-06,3.09944152832031E-06,3.09944152832031E-06,3.09944152832031E-06,78,257,0,0,78,257,78,257,156,514,0,0,0,0,0,0
2554,192.168.10.19,192.168.10.50,59005,21,6,22,28,0.006768044971284,0.005261147463763,0.027580058411003,0.018071762255915,9.5367431640625E-07,0,0.12984299659729,0.08804202079773,0.079296736490159,0.095008867758292,60.7272727272727,68.2857142857143,11.7866712788094,15.484686312744,52,52,95,104,1336,1912,12,16,0,0,0,0
2559,192.168.10.19,192.168.10.50,49655,31444,6,19,10,0.000470995903015,0.000903447469076,0.001478388085927,0.002082428687854,9.5367431640625E-07,0,0.00645112991333,0.006653070449829,0.00623087088267,0.006568829218547,1132.52631578947,53.6,1092.44787270178,3.2,52,52,2948,60,21518,536,4,0,0,0,0,0
2572,192.168.10.9,192.168.10.50,6815,22,6,38,44,0.039184731406135,0.033714299978212,0.169863846552832,0.146380806904103,1.9073486328125E-06,0,0.99520993232727,0.95376992225647,0.351712742367306,0.315058358879976,108.21052631579,198.590909090909,102.141068057533,308.832796640823,40,40,448,1016,4112,8738,24,26,0,0,0,0
2581,192.168.10.9,192.168.10.50,6816,22,6,38,42,0.041365481711723,0.037325899775435,0.173313897242033,0.150608041445135,2.86102294921875E-06,1.19209289550781E-06,0.995887994766235,0.952976942062378,0.395039068685996,0.356052183523411,109.894736842105,198.52380952381,102.38723950964,314.982330426209,40,40,448,1016,4176,8338,24,24,0,0,0,0
2664,192.168.10.50,192.168.10.3,28181,53,17,2,2,3.09944152832031E-06,4.05311584472656E-06,0,0,3.09944152832031E-06,4.05311584472656E-06,3.09944152832031E-06,4.05311584472656E-06,3.09944152832031E-06,4.05311584472656E-06,69,344,0,0,69,344,69,344,138,688,0,0,0,0,0,0
2665,192.168.10.50,192.168.10.3,9331,53,17,2,2,9.5367431640625E-07,4.79221343994141E-05,0,0,9.5367431640625E-07,4.79221343994141E-05,9.5367431640625E-07,4.79221343994141E-05,9.5367431640625E-07,4.79221343994141E-05,69,116,0,0,69,116,69,116,138,232,0,0,0,0,0,0
2666,192.168.10.50,172.217.17.46,37922,443,6,28,34,6.6912330698084,5.47103105891835,18.3582981938216,16.8341284007684,1.40666961669922E-05,9.5367431640625E-07,58.8786549568176,59.0043458938599,53.0634965631697,23.6470866853541,909.214285714286,217.588235294118,1545.76965011754,395.312543338072,52,52,5524,1470,25458,7398,11,11,0,0,0,0
2671,192.168.10.50,192.168.10.3,27669,53,17,2,2,3.09944152832031E-06,4.05311584472656E-06,0,0,3.09944152832031E-06,4.05311584472656E-06,3.09944152832031E-06,4.05311584472656E-06,3.09944152832031E-06,4.05311584472656E-06,75,254,0,0,75,254,75,254,150,508,0,0,0,0,0,0
2672,192.168.10.50,192.168.10.3,31309,53,17,2,2,9.5367431640625E-07,4.79221343994141E-05,0,0,9.5367431640625E-07,4.79221343994141E-05,9.5367431640625E-07,4.79221343994141E-05,9.5367431640625E-07,4.79221343994141E-05,75,138,0,0,75,138,75,138,150,276,0,0,0,0,0,0
2673,192.168.10.50,192.168.10.3,61354,53,17,2,2,3.09944152832031E-06,4.05311584472656E-06,0,0,3.09944152832031E-06,4.05311584472656E-06,3.09944152832031E-06,4.05311584472656E-06,3.09944152832031E-06,4.05311584472656E-06,75,254,0,0,75,254,75,254,150,508,0,0,0,0,0,0
2674,192.168.10.50,206.126.112.155,46354,443,6,30,26,6.24290562498158,7.24115296363831,17.8998927441226,19.1005959016852,4.10079956054688E-05,2.86102294921875E-06,58.9651010036469,59.0023429393768,49.4508292017312,31.08384973526,119.1,252,118.038793058328,442.700888776019,52,52,569,2100,3573,6552,17,16,0,0,0,0
